year,AGROCHAL,BBVACOL,BCOLOMBIA,BIOMAX,BMC,BOGOTA,BVC,CARACOLTV,CARTON,CELSIA,CEMARGOS,CLH,CNEC,COLOMBINA,COLTEJER,CONCIVILES,CONCONCRET,COOMEVAEPS,CORFERIAS,CORFICOLCF,DESCAUCANO,ECOPETROL,EEB,ELCONDOR,ELECTULUA,EMPAQUES,ENKA,EPSA,ESTRA,ETB,EXITO,FABRICATO,FAMILIA,FGNTOLIMA,GASNATURAL,GASORIENTE,GRUPOARGOS,GRUPOAVAL,GRUPOSURA,HCOLSEL,ICOLCAP,INCASTILLA,INESA,INVENSA,ISA,MARLY,MAYAGUEZ,MINEROS,NUTRESA,OCCIDENTE,ODINSA,ORBIS,PAZRIO,PFAVAL,PFAVH,PFBBVACOL,PFBCOLOM,PFCARPAK,PFCEMARGOS,PFCORFICOL,PFDAVVNDA,PFGRUPOARG,PFGRUPSURA,PFVILLA051,PFVILLA053,PFVILLAS,PFVILLAS00,PFVILLAS01,PFVILLASCA,POPULAR,PROMIGAS,PROTECCION,RCNTELEVI,RIOPAILA,RIOPAILIND,SANFELIPE,TERPEL,TGLSC,VALINDUSTR,VALOREM,VALSIMESA,VILLAS
15/02/2016,0,19021724,746490600,0,0,16691400,118113671.5,0,0,57799700,615025360,231413850,395154810,0,0,0,29780670,0,0,307506040,0,5553729280,42408600,9204000,0,0,52000000,0,0,47809860,2582396600,368631422.8,0,0,0,0,1176923540,19759550,1026362840,0,366500000,0,0,0,555934700,0,0,50929860,609868480,0,28080000,0,0,823303275,139582530,0,2617930220,0,1460642010,0,1088694220,64119280,698743320,0,0,0,0,0,0,0,147230680,0,0,0,0,0,0,0,0,0,0,0
16/02/2016,0,0,1799345140,0,0,1659415360,195754671,0,0,4977435485,2.53858E+11,1819066930,4150401810,0,1700,0,23216525,0,0,3019320120,0,25821175410,705937630,238669340,0,0,8171272.5,0,0,308784846,8211553620,105945716,0,0,0,0,5372905260,57970475,9082752060,1085400000,11177627148,0,0,0,5654604120,0,0,83910970,9717650920,0,0,0,0,4480321010,5438345340,0,25373028340,3207900,14889543250,0,7481685000,1447227720,6889048480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/02/2016,0,383976130,2204376420,0,0,1838161420,105814061.3,0,19350000,1144355320,12045893300,3431134040,2442452910,0,9406100,0,22226425,0,0,4205939240,0,33717035125,407482165,465750000,0,0,0,0,0,537639561,3579525320,72498651.5,0,0,0,0,4797808760,56058910,11135622680,2186100000,676005238,0,0,0,4432208460,0,0,74063600,2511269840,0,0,0,26095482,5862431285,2282683640,0,26660312260,17972785,6309323690,23312000,5160624600,3816533400,14062973100,0,0,0,0,0,0,0,20311200,0,0,0,0,0,0,0,0,0,0,0
18/02/2016,0,24900000,1080604760,0,0,3582257680,285756673.5,0,8840000,591097150,4936370860,4913010140,2178223930,0,599400,0,10550000,0,50000000,2217638600,0,38054203665,407480925,486513265,0,0,1019749.5,0,0,452679189,13133907880,272590483.7,0,0,0,0,7400273460,124902295,11695373380,3367200000,7565736500,0,0,0,3300846200,0,0,1131064450,4510457280,0,0,0,0,7667693705,2831866610,0,22976042740,1705000,7513655480,0,7354134480,3183510640,9026380720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/02/2016,0,42475000,1711285780,0,0,469773600,850098787.2,0,45000000,1998632470,7004346100,1987321120,796873550,0,14400,0,105010980,0,0,1240140940,0,24394191515,849805300,101950880,0,0,0,0,0,125873941,2835246140,200829426,0,0,0,0,3223574460,34361185,11337182460,7909954321,8640120350,0,0,0,1980213030,0,0,216103770,1872484300,0,1642260,0,0,3682897675,917704170,0,12233617840,9650300,5989035120,63200000,7517512600,2058864640,8780210360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/02/2016,0,15938910,1435421900,0,0,779890000,248102953.5,0,237267000,703491025,4665496540,6366384500,1117773460,0,5780200,0,134700460,0,0,495364400,0,19335289915,687416695,21846240,0,0,0,0,0,1614367074,3040547840,14516312.4,0,0,0,0,2218059660,59343420,5365145620,2363640000,20686050505,0,0,0,1201206740,0,0,78570320,3245333920,1845000,21250000,0,0,4480088975,2650455660,0,7145192320,4586450,6630599120,0,3546964980,865248060,4029504380,0,0,0,0,0,0,0,0,0,0,0,0,0,8470000,0,0,14710520,3514000,0
23/02/2016,0,5932710,1217156540,0,0,409319240,100425776.2,0,45000000,351869460,3710869800,2588443860,915586580,0,1404405,0,208531850,0,0,552517400,0,28619676740,581064860,283550000,0,0,0,0,0,4497827161,2880586780,23233500,0,0,0,0,3388454680,20014865,7421191240,2327963000,12728532885,0,0,0,2967572360,0,0,86813900,1138814580,7220000,52589500,0,0,4067789135,1692888415,0,19799244260,6782490,3319801450,0,10438370280,1209467380,2281264260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10676160,0,0
24/02/2016,0,0,1510677060,0,0,898369180,175099946.2,0,90025000,2264891320,5275952100,5420768000,1353887420,0,574590,0,106212565,0,0,1357829440,0,27185441000,2222699545,309054600,0,0,0,0,0,2434972044,2865015820,117263858.5,0,0,0,0,5054923300,263483530,8892027800,26290560000,13454525950,0,0,0,3959383790,0,0,274078850,3353597900,0,20816500,0,270000,6866909800,3619632635,0,15815911420,37514760,1828346420,0,9227194120,7963028780,3879982660,0,0,0,0,0,0,0,0,0,0,0,0,0,437823080,0,0,0,0,0
25/02/2016,0,0,140684220,0,0,1080150340,356715884.2,0,187043790,1344927295,11377635220,4955318080,4456021620,0,430430,0,176277055,0,0,2606257940,0,35458401305,1754242115,40643400,0,0,0,0,0,2381878876,30964249080,953939681.3,0,0,0,0,8469223540,56447185,6063756740,38784810000,2581848760,0,0,0,3745311470,0,0,150106690,7069770480,0,0,0,0,7501814105,1946191795,0,17690251420,17759130,1762445100,0,5364618660,5557685160,5612513340,0,0,0,0,0,0,0,0,0,0,0,0,0,45039400,0,0,31680000,0,0
26/02/2016,0,70440620,1321977020,0,0,708077300,288469900.9,0,211401740,7628114160,7066363880,4442317820,3874625060,0,0,0,475889205,0,0,2216665680,0,32651221040,3357364770,4666353300,0,0,0,0,0,2460476398,8964638100,213725045.2,0,0,0,0,7029663980,166176080,5051231220,22729650000,17252772200,0,0,0,2477699850,0,0,54609000,8239720380,0,0,0,28582004,6516935525,1841271190,0,17680364520,6506600,10142858070,0,14065032160,3599314660,7418027080,0,0,0,0,0,0,0,9805810,0,0,0,0,0,0,0,0,79786080,0,93800
29/02/2016,0,2170580,2558236700,0,0,162958500,1115250211,0,35072520,3402146930,9202175160,519044560,2009510150,0,2382720,0,345676830,0,0,3275938340,0,21746908895,3290061175,622096660,0,0,1476961.6,0,0,1428403874,5122926000,18736462.8,0,0,0,0,4016349480,73088345,9550169680,0,3202300000,0,0,0,3618056980,0,0,86328230,1594606020,0,0,0,215424,5172722020,3260359575,0,12181203360,326468870,2108676090,0,1365489240,365420500,4716226260,0,0,0,0,0,0,0,0,0,0,0,0,0,37655600,0,0,226595740,421200,0
