FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
04/01/2016,INESA     ,INVERSIONES EQUIPOS Y SERVICIOS S.A.,0,0,0,419,0,0,0,19840628,1139.25
04/01/2016,INVENSA   ,INVERSIONES VENECIA S.A.,0,0,0,506,0,0,0,19860623,1638.54
04/01/2016,ISA       ,INTERCONEXION ELECTRICA S.A. E.S.P.,588350450,-4.47,83255,7050,7340,7066.85,6960,20021126,14796.55
04/01/2016,MARLY     ,CLINICA DE MARLY S.A.,0,0,0,5300,0,0,0,19370812,19961.63
04/01/2016,MAYAGUEZ  ,MAYAGUEZ S.A.,0,0,0,6500,0,0,0,19841102,11480.45
04/01/2016,MINEROS   ,MINEROS S.A.,40034620,2.71,21356,1895,1895,1874.63,1845,19771116,2288.27
04/01/2016,NUTRESA   ,GRUPO NUTRESA S.A,896553160,-0.97,40553,22400,22400,22108.18,21240,19610321,18070.57
04/01/2016,OCCIDENTE ,BANCO DE OCCIDENTE S.A.,0,0,0,38200,0,0,0,19680827,26777.67
04/01/2016,ODINSA    ,ORGANIZACION DE INGENIERIA INTERNACIONAL S.A.,0,0,0,8500,0,0,0,20050119,8726.01
04/01/2016,ORBIS     ,GRUPO ORBIS S.A,0,0,0,19800,0,0,0,19750718,38484.2
04/01/2016,PAZRIO    ,ACERIAS PAZ DEL RIO S.A.,0,0,0,7.79,0,0,0,19520101,23.9
04/01/2016,PFAVAL    ,GRUPO AVAL ACCIONES Y VALORES S.A.,2154132620,-4.59,2063794,1040,1050,1043.77,1040,20110512,1070.85
04/01/2016,PFAVH     ,AVIANCA HOLDINGS S.A,82762320,-0.59,49457,1685,1685,1673.42,1660,20110511,6107.98
04/01/2016,PFBBVACOL ,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,0,0,0,295,0,0,0,19931108,284.2
04/01/2016,PFBCOLOM  ,BANCOLOMBIA S.A.,4732298960,-1.48,223754,21280,21520,21149.56,20900,19950726,22925.5
04/01/2016,PFCARPAK  ,CARVAJAL EMPAQUES S.A,0,0,0,1860,0,0,0,20120502,3805.74
04/01/2016,PFCEMARGOS,CEMENTOS ARGOS S.A.,66673920,-1.49,7223,9260,9260,9230.78,9250,20130413,6196.02
04/01/2016,PFCORFICOL,CORPORACION FINANCIERA COLOMBIANA S.A.,0,0,0,32500,0,0,0,19930208,21634.61
04/01/2016,PFDAVVNDA ,BANCO DAVIVIENDA S.A,1589688140,-2.84,74466,21180,21660,21347.84,21120,20101005,21797.35
04/01/2016,PFGRUPOARG,GRUPO ARGOS S.A.,31483700,-3.8,2147,14700,14720,14664.04,14480,20120608,26989.27
04/01/2016,PFGRUPSURA,GRUPO INVERSIONES SURAMERICANA,275916200,-2.36,8137,33980,34500,33908.84,33700,20111103,43597.61
04/01/2016,PFVILLA051,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20050914,6116.74
04/01/2016,PFVILLA053,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,5014.36,0,0,0,20050929,6116.74
04/01/2016,PFVILLAS  ,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,6000,0,0,0,20000215,6116.74
